,finished,page,title,url
259,False,1,会议活动策划,/c101010100-p140502/
260,False,1,会议活动执行,/c101010100-p140503/
261,False,1,会展活动销售,/c101010100-p140504/
262,False,1,会展活动策划,/c101010100-p140505/
263,False,1,会展活动执行,/c101010100-p140506/
264,False,1,广告,/c101010100-p140699/
265,False,1,广告创意,/c101010100-p140601/
266,False,1,美术指导,/c101010100-p140602/
267,False,1,广告设计师,/c101010100-p140603/
268,False,1,策划经理,/c101010100-p140604/
269,False,1,文案,/c101010100-p140605/
270,False,1,广告制作,/c101010100-p140607/
271,False,1,媒介投放,/c101010100-p140608/
272,False,1,媒介合作,/c101010100-p140609/
273,False,1,媒介顾问,/c101010100-p140610/
274,False,1,广告审核,/c101010100-p140611/
275,False,1,高端市场职位,/c101010100-p140499/
276,False,1,市场总监,/c101010100-p140401/
277,False,1,CMO,/c101010100-p140404/
278,False,1,公关总监,/c101010100-p140405/
279,False,1,媒介总监,/c101010100-p140406/
280,False,1,创意总监,/c101010100-p140407/
281,False,1,其他市场职位,/c101010100-p140701/
282,False,1,人力资源主管,/c101010100-p150101/
283,False,1,招聘,/c101010100-p150102/
284,False,1,HRBP,/c101010100-p150103/
285,False,1,人力资源专员/助理,/c101010100-p150104/
286,False,1,培训,/c101010100-p150105/
287,False,1,薪资福利,/c101010100-p150106/
288,False,1,绩效考核,/c101010100-p150107/
289,False,1,人力资源经理,/c101010100-p150403/
290,False,1,人力资源VP/CHO,/c101010100-p150406/
291,False,1,人力资源总监,/c101010100-p150108/
292,False,1,员工关系,/c101010100-p150109/
293,False,1,组织发展,/c101010100-p150110/
294,False,1,行政专员/助理,/c101010100-p150201/
295,False,1,前台,/c101010100-p150202/
296,False,1,行政主管,/c101010100-p150204/
297,False,1,经理助理,/c101010100-p150205/
298,False,1,后勤,/c101010100-p150207/
299,False,1,商务司机,/c101010100-p150208/
300,False,1,行政经理,/c101010100-p150401/
301,False,1,行政总监,/c101010100-p150209/
302,False,1,财务,/c101010100-p150399/
303,False,1,会计,/c101010100-p150301/
304,False,1,出纳,/c101010100-p150302/
305,False,1,财务顾问,/c101010100-p150303/
306,False,1,结算,/c101010100-p150304/
307,False,1,税务,/c101010100-p150305/
308,False,1,审计,/c101010100-p150306/
309,False,1,风控,/c101010100-p150307/
310,False,1,财务经理,/c101010100-p150402/
311,False,1,CFO,/c101010100-p150404/
312,False,1,财务总监,/c101010100-p150308/
313,False,1,财务主管,/c101010100-p150309/
314,False,1,法务专员/助理,/c101010100-p150203/
315,False,1,律师,/c101010100-p150502/
316,False,1,专利,/c101010100-p150503/
317,False,1,法律顾问,/c101010100-p150504/
318,False,1,法务主管,/c101010100-p150505/
319,False,1,法务经理,/c101010100-p150506/
320,False,1,法务总监,/c101010100-p150507/
321,False,1,其他职能职位,/c101010100-p150601/
322,False,1,高级管理职位,/c101010100-p150499/
323,False,1,CEO/总裁/总经理,/c101010100-p150407/
324,False,1,副总裁/副总经理,/c101010100-p150408/
325,False,1,事业部负责人,/c101010100-p150409/
326,False,1,区域/分公司/代表处负责人,/c101010100-p150410/
327,False,1,总裁/总经理/董事长助理,/c101010100-p150411/
